kegg_id,Keq,stdev,bigg_id
R00002,3.72E+130,4.96E-09,
R00004,5.86E+02,8.51E-01,PPA_1pp
R00005,5.66E+13,2.26E-03,ALPHm
R00006,2.19E-06,5.05E-02,
R00008,1.39E-03,1.56E-01,
R00009,6.76E+33,4.68E-03,CAT
R00010,1.12E+02,4.29E-01,TREHpp
R00013,2.72E+03,2.87E-02,GLXCBL
R00014,1.47E+05,6.44E-02,PDHam1mi
R00015,1.17E+01,1.33E-02,
R00016,1.62E+00,1.23E-01,
R00018,1.44E+00,3.97E-02,HSPMS
R00019,7.02E-04,5.28E-03,HYDAm
R00021,2.74E-12,8.57E-03,GLMS_syn
R00022,2.62E+02,1.28E-02,
R00024,9.45E+04,4.85E-02,RBPCh
R00026,1.82E+02,2.25E-01,
R00027,4.30E-02,1.63E-02,
R00028,3.61E+02,2.86E-01,MALTly
R00031,9.49E+90,3.99E-04,
R00032,7.21E+63,1.26E-08,BCDO
R00033,2.11E+19,3.38E-02,
R00036,1.53E+19,4.13E-02,PPBNGS
R00038,5.65E+01,3.95E-01,
R00039,6.68E-01,4.68E-03,
R00042,3.17E+117,1.34E-04,
R00043,3.62E+64,7.27E-02,
R00044,7.03E+83,2.65E-02,
R00045,7.14E+66,6.24E-05,
R00048,4.34E+08,2.00E-02,
R00049,2.73E+01,3.10E-01,
R00053,8.93E+09,8.54E-02,
R00054,1.01E+10,8.54E-02,
R00055,1.91E+74,3.12E-03,
R00058,2.45E+47,1.15E-06,
R00059,2.44E-01,2.64E-01,AHXDH
R00063,1.38E+01,1.35E-05,
R00066,3.19E+28,1.88E-08,RBFSb
R00067,5.11E-18,9.64E-02,
R00069,5.51E-29,5.50E-03,
R00070,3.58E+117,2.04E-08,
R00072,4.05E+29,3.24E-02,
R00078,1.65E+08,1.35E-06,FERO
R00084,3.53E+22,1.45E-03,HMBS
R00085,6.23E+08,6.16E-01,ATPH1e
R00086,4.22E+04,7.85E-01,ATPM
R00087,1.06E+06,6.42E-01,NTPP6
R00088,1.34E+10,5.94E-02,ATPHs
R00089,5.94E-02,4.46E-01,ADNCYC
R00090,1.59E+57,7.56E-02,NADHPO
R00091,1.32E+01,6.26E-06,
R00092,6.65E-37,1.34E-03,
R00093,2.22E-09,4.84E-01,GLUSx
R00094,1.34E-03,5.04E-01,GDR
R00102,1.35E+06,2.99E-02,NADNe
R00103,2.03E+06,9.25E-02,NADDPp
R00104,1.17E+02,9.64E-02,NADK
R00105,7.80E+01,9.64E-02,
R00112,1.50E+00,7.54E-01,NADTRHD
R00113,2.37E+57,7.27E-02,
R00114,1.54E-09,4.65E-01,GLUSy
R00115,8.95E-04,5.24E-01,GTHOr
R00118,3.61E+02,9.64E-02,NADPPPS
R00119,5.14E+05,2.35E-02,
R00120,3.14E+20,3.38E-02,
R00122,1.48E+04,7.85E-01,ATPH2e
R00123,5.95E+10,4.66E-02,
R00125,1.87E+06,6.22E-04,BTPS
R00126,2.17E-02,6.22E-04,ADATT
R00127,2.85E+00,8.86E-01,ATAMh
R00128,4.75E+05,9.64E-02,
R00129,4.68E+09,4.31E-03,
R00130,2.25E-01,9.64E-02,DPCOAK
R00131,1.73E+05,2.65E-02,UREA
R00132,2.75E-01,3.38E-02,HCO3Ehi
R00134,1.97E+02,7.27E-02,
R00135,3.14E-42,1.39E-02,
R00137,5.24E-01,9.64E-02,NMNATm
R00139,3.36E-01,3.65E-01,
R00140,1.08E+00,3.65E-01,
R00149,1.00E+00,4.13E-02,CPS
R00150,2.37E-05,4.30E-02,CBMKr
R00153,1.45E+23,5.48E-02,
R00155,5.18E+03,7.88E-02,NDP7er
R00156,2.53E+00,3.65E-01,NDPK2
R00157,1.08E+00,3.65E-01,
R00158,7.82E+00,7.88E-02,UMPK
R00159,1.67E+04,3.65E-01,NTP7
R00160,1.16E+04,2.26E-02,FADDP
R00161,9.54E+01,2.26E-02,FMNATm
R00173,1.49E+02,3.97E-02,PYDXPP
R00174,2.84E+02,3.97E-02,PYDXK
R00178,8.07E+03,8.54E-02,ADMDC
R00181,3.44E+05,2.16E-01,AMPDA
R00182,1.26E+03,2.98E-01,
R00183,3.07E+02,3.23E-01,NTD7
R00184,6.82E+05,6.22E-04,AP4AH1
R00185,1.37E+02,3.23E-01,ADNK1
R00188,7.80E+01,8.89E-02,BPNT
R00189,7.17E+02,5.50E-03,NADS1n
R00190,9.70E-04,3.50E-01,r0051
R00191,1.86E+07,4.12E-01,APNn
R00192,8.33E-07,9.64E-02,AHCi
R00193,1.36E+04,2.17E-02,
R00194,4.08E+02,2.87E-02,AHCYSNS
R00195,9.20E+00,5.70E-02,DAPAL
R00199,2.16E-01,6.68E-01,PPS
R00200,1.40E-05,7.24E-01,PYK
R00203,1.25E+05,1.91E-01,
R00205,8.37E+04,1.91E-01,ALR
R00206,3.68E-04,6.68E-01,PPDKh
R00207,6.89E+27,1.51E-02,
R00208,3.01E+09,6.42E-01,PGAM1_PhosHydro
R00209,1.53E+06,7.56E-02,PDH
R00210,1.02E+06,7.56E-02,
R00211,3.59E+29,1.57E-02,
R00212,1.93E-04,2.98E-01,PFL
R00214,5.28E-03,8.20E-02,ME1
R00215,1.24E-04,1.57E-02,MALDDH
R00216,3.53E-03,8.20E-02,ME2
R00217,1.07E+03,8.20E-02,OAADC
R00219,9.34E-05,3.24E-02,
R00220,1.07E+05,4.84E-01,SERD_L
R00221,7.42E+04,9.64E-02,SERD_D
R00223,1.16E+05,2.44E-01,
R00224,1.61E+03,7.27E-02,PYRDC_1
R00226,2.19E-06,5.05E-02,ACLS
R00227,1.80E+05,6.68E-01,ACOAH
R00228,9.51E+02,3.80E-01,ACALD
R00229,2.34E-01,7.24E-01,
R00230,1.92E-02,6.16E-01,PTArm
R00233,1.31E+03,7.88E-02,MCDm
R00235,6.14E+00,7.24E-01,ACS
R00237,2.44E-02,2.09E-03,
R00238,2.68E-05,5.04E-01,ACACT1x
R00239,2.28E-05,1.63E-01,GLU5K
R00241,5.31E-05,1.63E-01,
R00243,2.29E-07,7.85E-01,GLUDxi
R00245,4.53E+07,2.07E-01,PUTA3
R00248,1.53E-07,7.54E-01,GDH_nadp
R00250,5.38E+16,3.51E-02,
R00251,1.62E+01,8.20E-02,OPAH
R00253,4.25E+02,5.24E-01,GLNS
