metab,rxn_id,mode
k,glycdx,+
spmd,g6pdh2r,+
for,dpr,+
acgam1p,uacmamo,+
nad,acald,+
pydx,gcaldd,+
pydx5p,gcaldd,+
pydxn,gcaldd,+
cys_L,lcadi,+
amp,gludy,+
atp,gludy,+
utp,gludy,+
asp_L,aspo6,+
adp,thd2pp,+
amp,thd2pp,+
atp,thd2pp,+
nad,ntrir2x,+
nad,ntrir2x,+
cys_L,trdr,+
cys_L,trdr,+
cys_L,trdr,+
pi,trdr,+
his_L,cat,+
pheme,nodox,+
atp,rndr1,+
atp,rndr1,+
atp,rndr1,+
atp,rndr1,+
datp,rndr1,+
datp,rndr1,+
dctp,rndr1,+
dgtp,rndr1,+
dgtp,rndr1,+
dgtp,rndr1,+
dgtp,rndr1,+
dttp,rndr1,+
dttp,rndr1,+
dttp,rndr1,+
dttp,rndr1,+
dttp,rndr1,+
h2o2,rndr1,+
cys_L,hcysmt,+
hcys_L,hcysmt,+
hom_L,hcysmt,+
cyst_L,hcysmt,+
k,mets,+
na1,mets,+
amet,mets,+
amet,mets,+
hco3,cfas160e,+
ser_L,ghmt2r,+
adn,aspct,+
atp,aspct,+
atp,aspct,+
atp,aspct,+
atp,aspct,+
atp,aspct,+
ctp,aspct,+
ctp,aspct,+
mal_L,aspct,+
succ,aspct,+
utp,aspct,+
h2o2,tkt1,+
thmpp,sephchcs,+
pyr,pta2,+
pyr,pta2,+
atp,g3pat120,+
pi,3oas121,+
oxam,obtfl,+
oxam,obtfl,+
pyr,obtfl,+
amet,obtfl,+
amet,obtfl,+
amp,glcp2,+
cit,glcs1,+
ca2,uagpt3,+
dmso,uagpt3,+
dmso,uagpt3,+
mg2,uagpt3,+
ac,adpt,+
gtp,upprt,+
gtp,upprt,+
gtp,upprt,+
prpp,gluprt,+
amet,metat,+
gln_L,adcs,+
4abz,adcs,+
adp,pfk,+
gdp,pfk,+
gdp,pfk,+
dcdp,durik1,+
dctp,durik1,+
gtp,durik1,+
cys_L,adsk,+
trdrd,adsk,+
fdp,pyk,+
fdp,pyk,+
g6p,pyk,+
pep,pyk,+
k,gsnk,+
mg2,gsnk,+
atp,tmk,+
pa160,dagk160,+
ocdcea,dagk160,+
hdca,dagk160,+
ocdca,dagk160,+
etoh,gdpdpk,+
cys_L,uglt,+
cys_L,uglt,+
2ddg6p,glgc,+
2obut,glgc,+
3pg,glgc,+
3pg,glgc,+
3pg,glgc,+
adp,glgc,+
amp,glgc,+
amp,glgc,+
fdp,glgc,+
fdp,glgc,+
fdp,glgc,+
fdp,glgc,+
fdp,glgc,+
fdp,glgc,+
f6p,glgc,+
f6p,glgc,+
f6p,glgc,+
g6p,glgc,+
g6p,glgc,+
2dr5p,glgc,+
g3p,glgc,+
hpyr,glgc,+
nadp,glgc,+
nadph,glgc,+
pep,glgc,+
pep,glgc,+
pydx5p,glgc,+
pydx5p,glgc,+
pydx5p,glgc,+
pyr,glgc,+
s17bp,glgc,+
atp,dasyn120,+
cit,fbp,+
pep,fbp,+
pep,fbp,+
pep,fbp,+
so4,fbp,+
cl,pglycp,+
mn2,mi1pp,+
atp,ampn,+
met_L,fthfd,+
pi,acoda,+
ala_D,csnd,+
hom_L,csnd,+
gly,csnd,+
asp_L,csnd,+
asp_L,csnd,+
glu_L,csnd,+
glu_L,csnd,+
gln_L,csnd,+
gln_L,csnd,+
his_L,csnd,+
his_L,csnd,+
ile_L,csnd,+
leu_L,csnd,+
orn,csnd,+
phe_L,csnd,+
ser_L,csnd,+
thr_L,csnd,+
val_L,csnd,+
cytd,cytd,+
acgam6p,g6pda,+
acgam6p,g6pda,+
acgam6p,g6pda,+
acgam6p,g6pda,+
atp,ppa,+
pg160,zn2abcpp,+
pg180,zn2abcpp,+
cys_L,zn2abcpp,+
adp,kabcpp,+
atp,kabcpp,+
aso3,aso3t8pp,+
aso3,aso3t8pp,+
adp,oxcdc,+
amp,oxcdc,+
atp,oxcdc,+
cl,asp1dc,+
fdp,ppc,+
gtp,ppc,+
accoa,ppck,+
pyr,admdc,+
pyr,admdc,+
pyr,admdc,+
pyr,psd120,+
pyr,psd120,+
pyr,psd120,+
pyr,psd120,+
lipoate,ophbdc,+
meoh,ophbdc,+
akg,fba,+
cit,fba,+
pep,fba,+
glyc3p,fba,+
pnto__r,citl,+
cys_L,altrh,+
nadph,gmand,+
ppa,mcitd,+
2pglyc,mgsa,+
dmso,aspt,+
glyc,aspt,+
asp_L,aspt,+
val_L,serd_l,+
uama,glur,+
uama,glur,+
udp,udpg4e,+
ump,udpg4e,+
uacgam,uag2e,+
uacgam,uag2e,+
r15bp,ppm2,+
r15bp,ppm2,+
etha,g1sat,+
nadph,udpgalm,+
spmd,iletrs,+
spmd,iletrs,+
spmd,argtrs,+
glyb,glns,+
inost,glns,+
pro_L,glns,+
ac,ugmdds,+
but,ugmdds,+
for,ugmdds,+
ppa,ugmdds,+
dgtp,ctps2,+
gtp,ctps2,+
gtp,ctps2,+
gtp,ctps2,+
gtp,ctps2,+
gtp,ctps2,+
gtp,ctps2,+
itp,ctps2,+
gtp,cbps,+
imp,cbps,+
imp,cbps,+
imp,cbps,+
imp,cbps,+
imp,cbps,+
imp,cbps,+
itp,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
acglu,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
orn,cbps,+
k,cbps,+
xmp,cbps,+
btn,accoac,+
btn,accoac,+
cit,accoac,+
hom_L,hsdy,-
cys_L,hsdy,-
ser_L,hsdy,-
thr_L,hsdy,-
nadp,hsdy,-
cu2,glycdx,-
fe3,glycdx,-
zn2,glycdx,-
nadh,udpgd,-
udpglcur,udpgd,-
urea,histd,-
adp,ldh_d,-
atp,ldh_d,-
oxam,ldh_d,-
ca2,me2,-
cobalt2,me2,-
cu2,me2,-
mg2,me2,-
zn2,me2,-
pep,icdhyr,-
atp,gnd,-
fdp,gnd,-
nadph,gnd,-
atp,g6pdh2r,-
cd2,g6pdh2r,-
cobalt2,g6pdh2r,-
cu2,g6pdh2r,-
hg2,g6pdh2r,-
mn2,g6pdh2r,-
nadh,g6pdh2r,-
nadph,g6pdh2r,-
nadph,g6pdh2r,-
nadph,g6pdh2r,-
atp,manao,-
atp,manao,-
altrn,manao,-
altrn,manao,-
altrn,manao,-
mana,manao,-
nad,manao,-
atp,tagurr,-
fruur,tagurr,-
mana,tagurr,-
mn2,kara1,-
nadp,kara1,-
nadph,kara1,-
adp,g3pd2,-
adprib,g3pd2,-
amp,g3pd2,-
atp,g3pd2,-
dhap,g3pd2,-
glyc3p,g3pd2,-
g3p,g3pd2,-
2pg,g3pd2,-
glyc3p,g3pd2,-
nad,g3pd2,-
nadp,g3pd2,-
nadp,g3pd2,-
nadph,g3pd2,-
nmn,g3pd2,-
pmtcoa,g3pd2,-
pep,g3pd2,-
glyc3p,g3pd2,-
glyc3p,g3pd2,-
3pg,pgcd,-
ag,pgcd,-
ala_b,pgcd,-
gly,pgcd,-
ala_L,pgcd,-
athr_L,pgcd,-
hom_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
ser_L,pgcd,-
thr_L,pgcd,-
nadh,pgcd,-
nadp,3oar121,-
man6p,sbtpd,-
adp,dpr,-
amp,dpr,-
atp,dpr,-
nadp,dpr,-
pant__r,dpr,-
pi,dpr,-
adp,impd,-
amp,impd,-
atp,impd,-
ca2,impd,-
gdp,impd,-
gmp,impd,-
gmp,impd,-
gmp,impd,-
gmp,impd,-
gtp,impd,-
mg2,impd,-
mg2,impd,-
na1,impd,-
na1,impd,-
xmp,impd,-
cu2,dxprii,-
fe2,dxprii,-
gdp,gdmane,-
nadp,gdmane,-
for,fhl,-
no3,fhl,-
no2,fhl,-
ag,abutd,-
cobalt2,abutd,-
cu2,abutd,-
fe2,abutd,-
hg2,abutd,-
k,abutd,-
mg2,abutd,-
mn2,abutd,-
na1,abutd,-
ni2,abutd,-
zn2,abutd,-
acald,betaldhx,-
betald,betaldhx,-
ca2,betaldhx,-
chol,betaldhx,-
etha,betaldhx,-
hg2,betaldhx,-
