bigg_id,chebi
10fthf_c,15637
12ppd__S_c,45065
15dap_c,58384
1ddecg3p_c,72682
23ddhb_c,877
23dhba_c,57417
23dhbzs_c,7084
23dhdp_c,48052
25dkglcn_c,58428
26dap_LL_c,6341
26dap__M_c,57791
2agpe160_c,132926
2aobut_c,78948
2cpr5p_c,58613
2dh3dgal6p_c,58298
2dhp_c,19545
2dmmql8_c,61873
2dr1p_c,58576
2h3oppan_c,57978
2mahmp_c,57841
2mcacn_c,57872
2obut_c,39748
2ohph_c,62730
2omph_c,1235
2oph_c,40407
2pg_c,88350
2pglyc_c,58033
35cgmp_c,57746
3c2hmp_c,43468
3c3hmp_c,35128
3c4mop_c,19975
3dhq_c,42078
3haACP_c,84648
3hadpcoa_c,71038
3hbcoa_c,62611
3hdcoa_c,62616
3hddcoa_c,62558
3hhcoa_c,62075
3hhdcoa_c,62613
3hocoa_c,62617
3hpp_c,40000
3hpppn_c,57277
3mop_c,401
3odcoa_c,62548
3ohcoa_c,62418
3ohdcoa_c,57349
3ohodcoa_c,71407
3opalmACP_c,1639
3otdcoa_c,62543
3oxdhscoa_c,63255
3pg_c,58272
4ahmmp_c,43206
4crsol_c,44726
4h2opntn_c,58222
4mop_c,48430
4mpetz_c,58296
4ppcys_c,59458
56dura_c,921
5aizc_c,77657
5aop_c,356416
5apru_c,59551
5dh4dglc_c,43704
5drib_c,62012
5mta_c,44181
5mtr_c,78440
6hmhpt_c,44841
6hmhptpp_c,73083
6pgc_c,58759
6pgl_c,57955
LalaDglu_c,61566
Nmtrp_c,86128
aacoa_c,57286
acald_c,40533
accoa_c,57288
acetol_c,5796
acg5p_c,7151
acgam_c,7123
acgam1p_c,7125
acglu_c,87274
acnam_c,7214
aconm_c,57470
acorn_c,7368
acser_c,7668
actp_c,46262
adp_c,87518
adpglc_c,57498
adprib_c,57967
ag_c,49468
agdpcbi_c,60487
agm_c,58145
ahdt_c,58462
air_c,58592
akg_c,40661
ala_B_c,63070
ala__L_c,76050
alac__S_c,58476
alatrna_c,6172
all__D_c,4093
